,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
3561,10220800,39782696,Entire home/apt,,MK17,0,,1,0.0,1.0,128.0,3.0,1.326595,103.847842,2016-06-11 06:02:13.504966
3562,10220904,39782696,Entire home/apt,,TS19,0,,3,1.0,1.0,128.0,3.0,1.305797,103.847486,2016-06-11 06:02:04.957452
3563,10221006,39782696,Entire home/apt,,MK17,0,,3,1.0,1.0,128.0,3.0,1.326,103.849078,2016-06-11 04:22:02.232295
3564,10221087,39782696,Entire home/apt,,MK17,0,,3,1.0,1.0,128.0,3.0,1.326296,103.849691,2016-06-11 03:33:43.927817
3565,10222043,42067633,Entire home/apt,,MK17,9,4.5,5,1.0,1.0,96.0,,1.327401,103.84106,2016-06-11 05:33:00.050317
3566,10224777,49695199,Private room,,MK17,0,,4,1.0,1.0,76.0,1.0,1.326625,103.842892,2016-06-11 04:16:23.203499
3567,10225189,49695199,Private room,,MK17,11,4.0,3,1.0,1.0,61.0,1.0,1.328506,103.842028,2016-06-11 03:43:43.013176
3568,10225514,10248444,Private room,,TS21,2,,2,1.0,1.0,65.0,1.0,1.295789,103.840137,2016-06-11 04:36:09.617814
3569,10225520,10248444,Private room,,TS20,1,,2,1.0,1.0,65.0,1.0,1.297006,103.83829,2016-06-11 02:11:11.581031
3570,10228631,11776616,Entire home/apt,,MK25,2,,2,1.0,1.0,709.0,14.0,1.311512,103.884745,2016-06-11 05:51:21.205544
3571,10232659,52512145,Private room,,MK29,0,,2,1.0,1.0,61.0,1.0,1.371617,103.944959,2016-06-11 05:33:29.138305
3572,10233164,39782696,Entire home/apt,,MK17,0,,7,3.0,2.0,229.0,3.0,1.326354,103.8487,2016-06-11 04:46:14.228813
3573,10233245,39782696,Entire home/apt,,MK17,0,,7,3.0,2.0,229.0,3.0,1.328441,103.844082,2016-06-11 02:33:43.253512
3574,10233289,52590953,Entire home/apt,,MK27,4,4.5,5,1.0,1.0,93.0,2.0,1.306894,103.925573,2016-06-11 05:45:36.574663
3575,10234366,1439258,Entire home/apt,,MK04,0,,15,3.0,3.0,343.0,1.0,1.313208,103.791173,2016-06-11 02:00:08.700890
